<string>:12: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
[2026-04-10T03:40:17.805553Z] ============================================================
[2026-04-10T03:40:17.805685Z] 🔍 Starting BTC Multi-Timeframe Alignment Monitor
[2026-04-10T05:38:17.864206Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:39:17.864617Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:40:17.864890Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:41:17.865177Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:42:17.865465Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:43:17.865742Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:44:17.865938Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:45:17.866771Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:46:17.867071Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:47:17.867393Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:48:17.867697Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:49:17.867950Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:50:17.868226Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:51:17.868500Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:52:17.868803Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:53:17.869133Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:54:17.869485Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:55:17.869809Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:56:17.870135Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:57:17.870450Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:58:17.870737Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:59:17.871010Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:00:17.871364Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:01:17.871685Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:02:17.871981Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:03:17.872297Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:04:17.873117Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:05:17.873470Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:06:17.874430Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:07:17.874738Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:08:17.875135Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:09:17.875509Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:10:17.875900Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:11:17.876210Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:12:17.876497Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:13:17.876792Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:14:17.877101Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:15:17.877462Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:16:17.877825Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:17:17.878130Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:18:17.878459Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:19:17.878746Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:20:17.888078Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:21:17.888378Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:22:17.888691Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:23:17.889022Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:24:17.889369Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:25:17.889699Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:26:17.890039Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:27:17.890392Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:28:17.890745Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:29:17.891057Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:30:17.891361Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:31:17.891660Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:32:17.891986Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:33:17.892277Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:34:17.892592Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:35:17.892935Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:36:17.893298Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:37:17.893681Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:38:17.894024Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:39:17.894378Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:40:17.894674Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:41:17.894941Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:42:17.895289Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:43:17.895605Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:44:17.896536Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:45:17.896848Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:46:17.897183Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:47:17.897470Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:48:17.897749Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:49:17.898063Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:50:17.898334Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:51:17.898646Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:52:17.898941Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:53:17.899250Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:54:17.899521Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:55:17.899874Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:56:17.900213Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:57:17.900554Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:58:17.900914Z] ❌ Error: No module named 'kai_api'
[2026-04-10T06:59:17.901249Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:00:17.901673Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:01:17.902005Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:02:17.902313Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:03:17.902627Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:04:17.902978Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:05:17.903285Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:06:17.903601Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:07:17.903915Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:08:17.904198Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:09:17.904477Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:10:17.905394Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:11:17.905681Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:12:17.906001Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:13:17.906306Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:14:17.906596Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:15:17.906880Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:16:17.907193Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:17:17.907492Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:18:17.907797Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:19:17.908054Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:20:17.908321Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:21:17.908561Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:22:17.908835Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:23:17.909115Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:24:17.909461Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:25:17.910717Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:26:17.910990Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:27:17.911272Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:28:17.911589Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:29:17.911902Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:30:17.912211Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:31:17.912494Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:32:17.912800Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:33:17.913107Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:34:17.913459Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:35:17.913769Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:36:17.923115Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:37:17.923401Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:38:17.923683Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:39:17.923995Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:40:17.924340Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:41:17.933721Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:42:17.934873Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:43:17.935212Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:44:17.935495Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:45:17.935782Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:46:17.936639Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:47:17.936922Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:48:17.937213Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:49:17.937602Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:50:17.937962Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:51:17.938315Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:52:17.938762Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:53:17.948141Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:54:17.948446Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:55:17.948723Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:56:17.949016Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:57:17.949289Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:58:17.949575Z] ❌ Error: No module named 'kai_api'
[2026-04-10T07:59:17.949853Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:00:17.951012Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:01:17.951321Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:02:17.951617Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:03:17.951930Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:04:17.952236Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:05:17.952523Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:06:17.952841Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:07:17.953151Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:08:17.962534Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:09:17.962816Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:10:17.963124Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:11:17.963459Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:12:17.963743Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:13:17.964018Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:14:17.964312Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:15:17.964602Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:16:17.964871Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:17:17.965152Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:18:17.965490Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:19:17.966487Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:20:17.966826Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:21:17.967175Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:22:17.967460Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:23:17.967729Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:24:17.968000Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:25:17.968231Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:26:17.968562Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:27:17.968925Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:28:17.969301Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:29:17.969633Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:30:17.970650Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:31:17.970981Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:32:17.971993Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:33:17.972333Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:34:17.972642Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:35:17.972913Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:36:17.973214Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:37:17.973654Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:38:17.974011Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:39:17.974367Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:40:17.974697Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:41:17.984242Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:42:17.984506Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:43:17.984839Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:44:17.985126Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:45:17.985423Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:46:17.985695Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:47:17.985969Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:48:17.986330Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:49:17.986649Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:50:17.986943Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:51:17.996355Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:52:17.996696Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:53:17.997007Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:54:17.997260Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:55:17.997550Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:56:17.997835Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:57:17.998119Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:58:17.998390Z] ❌ Error: No module named 'kai_api'
[2026-04-10T08:59:17.998671Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:00:17.998946Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:01:17.999265Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:02:17.999565Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:03:17.999883Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:04:18.000801Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:05:18.001085Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:06:18.002006Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:07:18.002275Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:08:18.002567Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:09:18.002865Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:10:18.003164Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:11:18.003464Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:12:18.003779Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:13:18.004069Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:14:18.005046Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:15:18.005396Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:16:18.005718Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:17:18.005985Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:18:18.006284Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:19:18.006590Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:20:18.006854Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:21:18.007170Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:22:18.007472Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:23:18.007766Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:24:18.008051Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:25:18.008344Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:26:18.008632Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:27:18.008977Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:28:18.009277Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:29:18.009581Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:30:18.009900Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:31:18.010862Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:32:18.011193Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:33:18.011500Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:34:18.011860Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:35:18.012869Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:36:18.013177Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:37:18.013498Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:38:18.013813Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:39:18.014115Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:40:18.014406Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:41:18.014699Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:42:18.015027Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:43:18.015344Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:44:18.015656Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:45:18.016892Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:46:18.017189Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:47:18.017507Z] ❌ Error: No module named 'kai_api'
[2026-04-10T09:48:18.017812Z] ❌ Error: No module named 'kai_api'
